sample_,class,dilution,order,batch,id
20210708_031,healthy,1.0,825,22,20210708_031
20210708_033,healthy,1.0,826,22,20210708_033
20210708_035,QC,1.0,827,22,20210708_035
20210708_037,cancer,1.0,828,22,20210708_037
20210708_039,healthy,1.0,829,22,20210708_039
20210708_041,healthy,1.0,830,22,20210708_041
20210708_043,cancer,1.0,831,22,20210708_043
20210708_045,cancer,1.0,832,22,20210708_045
20210708_047,QC,1.0,833,22,20210708_047
20210708_049,post-surgery,1.0,834,22,20210708_049
20210708_051,benign,1.0,835,22,20210708_051
20210708_053,benign,1.0,836,22,20210708_053
20210708_055,post-surgery,1.0,837,22,20210708_055
20210708_057,healthy,1.0,838,22,20210708_057
20210708_059,QC,1.0,839,22,20210708_059
20210708_061,cancer,1.0,840,22,20210708_061
20210708_063,cancer,1.0,841,22,20210708_063
20210708_065,cancer,1.0,842,22,20210708_065
20210708_067,healthy,1.0,843,22,20210708_067
20210708_069,SRM,1.0,844,22,20210708_069
20210708_071,QC,1.0,845,22,20210708_071
20210708_073,QC,1.0,846,22,20210708_073
20210708_075,process blank,1.0,847,22,20210708_075
20210708_077,solvent,1.0,848,22,20210708_077
20210712_003,solvent,1.0,850,23,20210712_003
20210712_005,process blank,1.0,851,23,20210712_005
20210712_019,QC,1.0,858,23,20210712_019
20210712_021,QC,1.0,859,23,20210712_021
20210712_023,QC,1.0,860,23,20210712_023
20210712_025,benign,1.0,861,23,20210712_025
20210712_027,healthy,1.0,862,23,20210712_027
20210712_029,cancer,1.0,863,23,20210712_029
20210712_031,benign,1.0,864,23,20210712_031
20210712_033,post-surgery,1.0,865,23,20210712_033
20210712_035,QC,1.0,866,23,20210712_035
20210712_037,healthy,1.0,867,23,20210712_037
20210712_039,cancer,1.0,868,23,20210712_039
20210712_041,cancer,1.0,869,23,20210712_041
20210712_043,healthy,1.0,870,23,20210712_043
20210712_045,benign,1.0,871,23,20210712_045
20210712_047,QC,1.0,872,23,20210712_047
20210712_049,cancer,1.0,873,23,20210712_049
20210712_051,healthy,1.0,874,23,20210712_051
20210712_053,healthy,1.0,875,23,20210712_053
20210712_055,healthy,1.0,876,23,20210712_055
20210712_057,cancer,1.0,877,23,20210712_057
20210712_059,QC,1.0,878,23,20210712_059
20210712_061,post-surgery,1.0,879,23,20210712_061
20210712_063,cancer,1.0,880,23,20210712_063
20210712_065,cancer,1.0,881,23,20210712_065
20210712_067,healthy,1.0,882,23,20210712_067
20210712_069,SRM,1.0,883,23,20210712_069
20210712_071,QC,1.0,884,23,20210712_071
20210712_073,QC,1.0,885,23,20210712_073
20210712_075,process blank,1.0,886,23,20210712_075
20210712_077,solvent,1.0,887,23,20210712_077
20210714_003,solvent,1.0,889,24,20210714_003
20210714_005,process blank,1.0,890,24,20210714_005
20210714_019,QC,1.0,897,24,20210714_019
20210714_021,QC,1.0,898,24,20210714_021
20210714_023,QC,1.0,899,24,20210714_023
20210714_025,cancer,1.0,900,24,20210714_025
20210714_027,healthy,1.0,901,24,20210714_027
20210714_029,healthy,1.0,902,24,20210714_029
20210714_031,cancer,1.0,903,24,20210714_031
20210714_033,cancer,1.0,904,24,20210714_033
20210714_035,QC,1.0,905,24,20210714_035
20210714_037,healthy,1.0,906,24,20210714_037
20210714_039,cancer,1.0,907,24,20210714_039
20210714_041,benign,1.0,908,24,20210714_041
20210714_043,cancer,1.0,909,24,20210714_043
20210714_045,benign,1.0,910,24,20210714_045
20210714_047,QC,1.0,911,24,20210714_047
20210714_049,benign,1.0,912,24,20210714_049
20210714_051,cancer,1.0,913,24,20210714_051
20210714_053,SRM,1.0,914,24,20210714_053
20210714_055,QC,1.0,915,24,20210714_055
20210714_057,QC,1.0,916,24,20210714_057
20210714_059,QC,1.0,917,24,20210714_059
20210714_061,QC,1.0,918,24,20210714_061
20210714_063,process blank,1.0,919,24,20210714_063
20210714_065,solvent,1.0,920,24,20210714_065
20210715_003,solvent,1.0,922,25,20210715_003
20210715_005,process blank,1.0,923,25,20210715_005
20210715_019,QC,1.0,930,25,20210715_019
20210715_021,QC,1.0,931,25,20210715_021
20210715_023,QC,1.0,932,25,20210715_023
20210715_025,2,0.5,933,25,20210715_025
20210715_027,1,1.0,934,25,20210715_027
20210715_029,8,0.125,935,25,20210715_029
20210715_031,1,1.0,936,25,20210715_031
20210715_033,8,0.125,937,25,20210715_033
20210715_035,QC,1.0,938,25,20210715_035
20210715_037,16,0.0625,939,25,20210715_037
20210715_039,1,1.0,940,25,20210715_039
20210715_041,4,0.25,941,25,20210715_041
20210715_043,2,0.5,942,25,20210715_043
20210715_045,16,0.0625,943,25,20210715_045
20210715_047,QC,1.0,944,25,20210715_047
20210715_049,4,0.25,945,25,20210715_049
20210715_051,2,0.5,946,25,20210715_051
20210715_053,4,0.25,947,25,20210715_053
20210715_055,8,0.125,948,25,20210715_055
20210715_057,16,0.0625,949,25,20210715_057
20210715_059,QC,1.0,950,25,20210715_059
20210715_061,QC,1.0,951,25,20210715_061
20210715_063,QC,1.0,952,25,20210715_063
20210715_065,process blank,1.0,953,25,20210715_065
20210715_067,solvent,1.0,954,25,20210715_067
20220523_003,solvent,1.0,991,27,20220523_003
20220523_005,sss,1.0,992,27,20220523_005
20220523_007,process blank,1.0,993,27,20220523_007
20220523_021,QC,1.0,1000,27,20220523_021
20220523_023,QC,1.0,1001,27,20220523_023
20220523_025,QC,1.0,1002,27,20220523_025
20220523_027,pQC,1.0,1003,27,20220523_027
20220523_029,pQC,1.0,1004,27,20220523_029
20220523_031,pQC,1.0,1005,27,20220523_031
20220523_033,pQC,1.0,1006,27,20220523_033
20220523_035,pQC,1.0,1007,27,20220523_035
20220523_037,QC,1.0,1008,27,20220523_037
20220523_039,pQC,1.0,1009,27,20220523_039
20220523_041,pQC,1.0,1010,27,20220523_041
20220523_043,pQC,1.0,1011,27,20220523_043
20220523_045,pQC,1.0,1012,27,20220523_045
20220523_047,pQC,1.0,1013,27,20220523_047
20220523_049,QC,1.0,1014,27,20220523_049
20220523_051,pQC,1.0,1015,27,20220523_051
20220523_053,pQC,1.0,1016,27,20220523_053
20220523_055,pQC,1.0,1017,27,20220523_055
20220523_057,pQC,1.0,1018,27,20220523_057
20220523_059,pQC,1.0,1019,27,20220523_059
20220523_061,QC,1.0,1020,27,20220523_061
20220523_063,pQC,1.0,1021,27,20220523_063
20220523_065,pQC,1.0,1022,27,20220523_065
20220523_067,pQC,1.0,1023,27,20220523_067
20220523_069,pQC,1.0,1024,27,20220523_069
20220523_071,pQC,1.0,1025,27,20220523_071
20220523_073,pQC,1.0,1026,27,20220523_073
20220523_075,QC,1.0,1027,27,20220523_075
20220523_077,QC,1.0,1028,27,20220523_077
20220523_079,QC,1.0,1029,27,20220523_079
20220523_081,process blank,1.0,1030,27,20220523_081
20220523_083,solvent,1.0,1031,27,20220523_083
